상점 이름,위도,경도,지번주소,도로명주소
소담식당,37.58596492,127.0297088,,서울특별시 성북구 인촌로24길 3-42
수유리우동집,37.58619539,127.030429,,서울특별시 성북구 인촌로 100
스시바,37.58555383,127.030628,,서울특별시 성북구 인촌로28길 16 안암랜드빌딩
신포1971,37.58517216,127.0292466,,서울특별시 성북구 인촌로24길 24
싸움의고수,37.58533427,127.0295319,,서울특별시 성북구 인촌로24가길 1 1층
아비꼬,37.5841089,127.029613,,서울특별시 성북구 인촌로24길 47
안암아줌마치킨,,,,
열정왕갈비,37.58408714,127.0301428,,서울특별시 성북구 인촌로26길 51 진영빌딩 2층
영자's 곱창,37.58600809,127.0300123,,서울특별시 성북구 인촌로26길 5
영철버거,37.58555383,127.030628,,서울특별시 성북구 인촌로28길 16 안암랜드빌딩 1층
오샬,37.58597225,127.0292106,,서울특별시 성북구 인촌로24길 6 문원빌딩
오징어나라,37.58517565,127.029713,,서울특별시 성북구 인촌로24가길 6
오징어바다,,,,
유가네,37.58500999,127.0292284,,서울특별시 성북구 인촌로24길 28 인화빌딩
육쌈냉면,37.58597225,127.0292106,,서울특별시 성북구 인촌로24길 6 2층
육앤샤,37.58455212,127.0298803,,서울특별시 성북구 인촌로26길 38
은화수 식당,37.58319347,127.0296896,,서울특별시 성북구 안암로 77
이가네 황소곱창,37.58442593,127.0300841,,서울특별시 성북구 인촌로 26길 39
이번지깡통집,37.58456649,127.0300841,,서울특별시 성북구 인촌로26길 37
이삭토스트,37.58441164,127.0295769,,서울특별시 성북구 인촌로24길 39
인디아팰리스,37.58615211,127.0305512,,서울특별시 성북구 인촌로 102
장위동 유성집,37.58604354,127.0322585,,서울특별시 성북구 안암로 117
저팔계,37.58411243,127.0299073,,서울특별시 성북구 인촌로26길 50
전설의 짬뽕,37.58596858,127.029496,,서울특별시 성북구 인촌로24길 5 2층
전주완산골,37.5861418,127.0285722,,서울특별시 성북구 인촌로 84
젊은 핫도그,37.58370525,127.029649,,서울특별시 성북구 인촌로24길 55
죠스 떡볶이,37.58337369,127.0296172,,서울특별시 성북구 인촌로24길 63
준호네 부대찌개,37.58348901,127.0296354,,서울특별시 성북구 안암동5가 104-116
찌개집,37.5853807,127.031194,,서울특별시 성북구 인촌로28길 25
찜앤족,37.58442241,127.0297444,,서울특별시 성북구 인촌로26길 42-4
참숯불3392,37.5840835,127.0303013,,서울특별시 성북구 안암로 89-5
참치애난,37.58619526,127.0309362,,서울특별시 성북구 인촌로 104-1
초통삼,37.5859683,127.03061,,서울특별시 성북구 인촌로28길 7
춘천집,37.58424221,127.0297715,,서울특별시 성북구 인촌로26길 42-3
충만치킨,37.58580287,127.0292061,,서울특별시 성북구 인촌로24길 8
치킨버스,37.58548932,127.029215,,서울특별시 성북구 인촌로24길 16
치킨퐁,37.58500999,127.0292284,,서울특별시 성북구 인촌로24길 28 인화빌딩
카니발 피자,37.58319347,127.0296896,,서울특별시 성북구 안암로 77 임충남치과의원
카우보이,,,,
코끼리 청국장,,,,
코끼리분식,37.589034,127.019701,,서울특별시 성북구 안암5가 110
쿠이도라쿠,37.58499865,127.0312935,,서울특별시 성북구 안암로 103
크림스치킨,37.58441164,127.0295769,,서울특별시 성북구 인촌로24길 39
포몬스,37.58581721,127.029505,,서울특별시 성북구 인촌로24길 9
품연식당,,,,
하카타,37.5851793,127.0295364,,서울특별시 성북구 안암동 5가 102-9
한끼 돼지국밥,,,,
한사우 손두부,37.58603748,127.0277615,,서울특별시 성북구 인촌로 76
한솥도시락(고대안암점),37.58614851,127.0305331,,서울특별시 성북구 안암동5가 94-2
향나무집,37.58591825,127.0289706,,서울특별시 성북구 인촌로22길 5
호만두,37.58370525,127.029649,,서울특별시 성북구 인촌로24길 55
홍콩반점0410,37.58517565,127.029713,,서울특별시 성북구 인촌로24가길 6 2층
회뜨는총각,37.58551078,127.0298626,,서울특별시 성북구 인촌로26길 14
고대양꼬치집,37.58614889,127.0290567,,서울특별시 성북구 인촌로 88
놀이터,,,,
달래진족,37.58349262,127.0296082,,서울특별시 성북구 인촌로24길 61
동's꼬지,37.58499865,127.0312935,,서울특별시 성북구 안암로 103
땡전집,37.58517216,127.0292466,,서울특별시 성북구 인촌로24길 24
무궁화생고기,37.5837664,127.0301155,,서울특별시 성북구 안암로 87-5
무사(M'SA),37.58442598,127.0298758,,서울특별시 성북구 인촌로26길 42-2
안암꼬치,,,,
유자유,37.5841089,127.029613,,서울특별시 성북구 인촌로24길 47
작품86,37.58370525,127.029649,,서울특별시 성북구 인촌로24길 55
짚신매운갈비찜,37.58539549,127.0297222,,서울특별시 성북구 인촌로24길 3-28
화통집,37.58369433,127.0300521,,서울특별시 성북구 안암로 81-4
황제곱창,37.58384931,127.0300159,,서울특별시 성북구 인촌로26길 55
무르무르 드 구스토,,,,
프로마치,37.58539898,127.0301569,,서울특별시 성북구 인촌로24가길 13
1973광장시장,,,,
88포차,37.58343848,127.0299206,,서울특별시 성북구 안암로 81
Daddy J,37.58613071,127.0296681,,서울특별시 성북구 인촌로24길 3-3
Gotham bar,37.58583514,127.0298491,,서울특별시 성북구 인촌로26길 8
LaVIDA,37.58579905,127.0300529,,서울특별시 성북구 인촌로26길 9
May bar,37.5853882,127.0300437,,서울특별시 성북구 인촌로24가길 11
MONACO Bar,,,,
NEWYORK CITY Bar,,,,
NO85,,,,
PUNPKIN Bar,37.58518634,127.0301885,,서울특별시 성북구 인촌로24가길 14
QUEEN BAR,,,,
The HUB,37.58519003,127.0298398,,서울특별시 성북구 인촌로24가길 8
TLC,37.5849126,127.0295454,,서울특별시 성북구 인촌로24길 27
UF ANIA,37.5855684,127.0300347,,서울특별시 성북구 인촌로26길 15
골목집,,,,
구노포차,37.58370525,127.029649,,서울특별시 성북구 인촌로24길 55
나이로비,37.58506384,127.0300707,,서울특별시 성북구 인촌로26길 25
달자비어,,,,
도시인II,37.58392868,127.029708,,서울특별시 성북구 인촌로24길 51
드록바,37.5857054,127.0298491,,서울특별시 성북구 인촌로26길 12
떡술집,37.58463157,127.0292464,,서울특별시 성북구 안암동5가 102-32 3층
휴블랑,37.58619526,127.0309362,,서울특별시 성북구 인촌로 104-1
막걸리집,37.58551078,127.0298626,,서울특별시 성북구 인촌로26길 14 청평빌딩
맛갱스터,37.58343848,127.0299206,,서울특별시 성북구 안암로 81
맥주바켓,37.58568747,127.0295094,,서울특별시 성북구 인촌로24길 11
맥주창고,37.58519003,127.0298398,,서울특별시 성북구 인촌로24가길 8
박군포차,37.58469989,127.0298668,,서울특별시 성북구 인촌로26길 34
반지,37.58486562,127.0300752,,서울특별시 성북구 인촌로26길 31
별난주점,37.58596858,127.029496,,서울특별시 성북구 인촌로24길 5
봉구비어,37.58442598,127.0298758,,서울특별시 성북구 인촌로26길 42-2 2층
비트윈더바,37.58459913,127.0292599,,서울특별시 성북구 인촌로24길 36 송곡빌딩
삼팔포차,,,,
삼팔포차 2호점,,,,
술익는마을,,,,
아맛나슈퍼,37.58425658,127.0299255,,서울특별시 성북구 인촌로26길 42-1
에비로드,37.58442241,127.0297444,,서울특별시 성북구 인촌로26길 42-4
왕빈대떡삼파전,,,,
용구비어,37.58604039,127.0305467,,서울특별시 성북구 인촌로28길 5
울프꼬치,,,,
원(元)이자카야,37.58438261,127.0303739,,서울특별시 성북구 인촌로26길 45-4
이모네,,,,
이모네 포차,,,,
이시스(Jsis),37.5844259,127.0301973,,서울특별시 성북구 인촌로26길 45-1
주당,37.58424221,127.0297715,,서울특별시 성북구 인촌로26길 42-3
진화로,37.58615211,127.0305512,,서울특별시 성북구 인촌로 102
쪼끼쪼끼,37.58596492,127.0297088,,서울특별시 성북구 인촌로24길 3-42
찬수씨 싼술을 부탁해,37.58400447,127.0292914,,서울특별시 성북구 인촌로24길 48
춘자,37.58442598,127.0298758,,서울특별시 성북구 인촌로26길 42-2
춘자2,,,,
피닉스바,37.58500999,127.0292284,,서울특별시 성북구 인촌로24길 28 인화빌딩
피쉬앤그릴,37.5853882,127.0300437,,서울특별시 성북구 인촌로24가길 11
한잔의추억,37.58495217,127.0298533,,서울특별시 성북구 인촌로26길 30
호미불닭발,37.58369433,127.0300521,,서울특별시 성북구 안암로 81-4 3층
花 bar,37.58517565,127.029713,,서울특별시 성북구 인촌로24가길 6
휘모리,37.58423865,127.0295813,,서울특별시 성북구 인촌로24길 45
희야,,,,서울특별시 성북구 인촌로26길 32 1F
102 TREE,,,,서울특별시 성북구 인촌로22길 19 세림빌딩
58도씨,,,,서울특별시 성북구 인촌로26길 42-2
Coffee zip,,,,서울특별시 성북구 안암로 105 동성제일한의원
HART CAF?,,,,
공차,,,,"서울특별시 성북구 인촌로24길 17 1층, 2층"
뉴욕핫도그앤커피,,,,
더퍼스트펭귄,,,,서울특별시 성북구 인촌로28길 6 사이룩스빌딩
데일리트로피칼,,,,
딩굴,,,,서울특별시 성북구 인촌로24길 44
뚜레쥬르,,,,서울특별시 성북구 안암로 77 임충남치과의원
모퉁이,,,,
배스킨라빈스31,,,,서울특별시 성북구 인촌로24길 25
버블티킹,,,,서울특별시 성북구 인촌로 88
쁠레쟝,,,,
설빙,,,,서울특별시 성북구 인촌로24길 14
스타벅스(안암역),,,,서울특별시 성북구 인촌로 102-2
스타벅스(참살이길),,,,서울특별시 성북구 인촌로24길 51
와플앨리,,,,서울특별시 성북구 인촌로28길 21
이디야커피(참살이),,,,서울특별시 성북구 인촌로24길 45
전광수 커피하우스,,,,서울특별시 성북구 인촌로 104-1
쥬씨,,,,
지식을 담다,,,,서울특별시 성북구 인촌로24가길 17 소낭구
카페 드나타,,,,
카페 포트,,,,서울특별시 성북구 인촌로26길 45-9 1층 CAFE PORT
커피만,,,,서울특별시 성북구 인촌로24길 39 1층 커피만
커피빈(참살이),,,,서울특별시 성북구 인촌로24길 25
탐앤탐스,,,,서울특별시 성북구 인촌로24길 63
파리바게뜨,,,,서울특별시 성북구 인촌로24길 9
프로마치,,,,서울특별시 성북구 인촌로24가길 13
피카커피,,,,서울특별시 성북구 인촌로30길 29 한누리교회
황준호 베이커리,,,,서울특별시 성북구 인촌로22길 6-2
맥도날드,,,,서울 성북구 인촌로24길 42 방주빌딩
복성미식,37.58613071,127.0296681,,서울특별시 성북구 인촌로24길 3-3
그냥 식당,37.59143012,127.0368715,,서울특별시 성북구 회기로 3
오늘은 면발 땡기는 날,37.58818294,127.0368835,,서울특별시 동대문구 제기로7길 37
파리바게뜨(고려대),37.58967143,127.0367348,,서울특별시 동대문구 고산자로 564
버거킹(문과_중앙광장),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교안암캠퍼스(인문사회계)
비비고(문과_CJ법학관),37.58875009,127.0323729,,서울특별시 성북구 안암동5가 1-2 고려대학교 CJ 법학관 1층
CNN카페(문과_백주년기념관),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교
TIAMO(문과_중앙광장),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대중앙광장 지하 1층
TIAMO(문과_현차관),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 현차관 지하1층
고대빵(문과_국제관),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 국제관
디초콜릿(문과_중앙광장),37.58877818,127.0349771,,서울특별시 성북구 안암동5가 1-21
오픈엘리(문과_파이빌),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 파이빌 99 A동1층
카페 드림(문과_라이시움),37.58870342,127.0316981,,"서울특별시 성북구 안암로 145, 고려대학교 라이시움관 1층"
학관카페(문과_학관),37.58870342,127.0316981,,서울특별시 성북구 안암로 145 고려대학교 학관 2층
박가네 뼈다귀 해장국,37.58206897,127.0299427,,서울특별시 동대문구 무학로 200 휴먼플러스
비야(이공후문),37.58307485,127.0284215,,서울특별시 성북구 안암로9가길 91
삼성통닭(이공후문),37.58345306,127.0292821,,서울특별시 성북구 안암동5가 104-41호
정다래 함박스텍(이공후문),37.58307485,127.0284215,,서울특별시 성북구 안암로9가길 91
철남,37.58325853,127.0289243,,서울특별시 성북구 안암로 73-7
김밥천국(정대후문),37.5868876,127.0294646,,서울특별시 성북구 개운사길 12
철판남매(정대후문),37.58749304,127.0295871,,서울특별시 성북구 개운사길 22-5
주유소2(2층),37.58721911,127.0296731,,서울특별시 성북구 인촌로27길 19
주유소1(지하1층),37.58735601,127.0298996,,서울특별시 성북구 인촌로27길 24-2
9HERTZ,37.58761556,127.0296234,,서울특별시 성북구 인촌로27길 27
LESS IS MORE,37.58840128,127.0294109,,서울특별시 성북구 개운사길 42-3 CASA 1517
고래돈까스,37.58837092,127.0350313,,서울특별시 동대문구 안암로 154
김가네(제기동),37.58280053,127.0301242,,서울특별시 동대문구 약령시로 3
포하롱,37.5859461,127.0327476,,서울특별시 동대문구 안암로 120
Caf? I,37.58628449,127.0340928,,서울특별시 동대문구 제기로 10
고봉민 김밥,37.58544239,127.0295229,,서울특별시 성북구 인촌로24길 17
도네누 볏짚 통삼겹갈비,37.5856515,127.029206,,서울특별시 성북구 인촌로24길 14
미각(참살이길 중간 2층),37.58555412,127.0295139,,서울특별시 성북구 인촌로24길 15 정암빌딩
비나 레스토랑 2호점,37.58596492,127.0297088,,서울특별시 성북구 인촌로24길 3-42
그옛날에 즉석짜알래스카에서 왕십리막창구파리바게버거TIAMO(문과_중앙광TIAMO(문과_현차고대디초콜오픈엘카페 드거성치마마돈가서울식아미알콩홍대개드럼락커Joe\'s Grill,37.58255222,127.0286704,,서울특별시 성북구 안암동5가 134-43
