상점 이름,위도,경도,지번주소,도로명주소
해피데이,,,,
호랭이밥그릇,37.59259827,127.035382,,서울특별시 성북구 북악산로 1057 우전빌딩
홍대개미,37.59553552,127.03532,,서울특별시 성북구 종암로9길 3 1층
또또치킨호프,37.59370116,127.0351108,,서울특별시 성북구 종암동 23-24
두루두루,37.59339483,127.0350789,,서울특별시 성북구 종암로3길 18 낙원빌딩
DOOL,37.59428151,127.0347306,,서울특별시 성북구 북악산로31길 39
ISM,,,,
N'D MORE,,,,
드럼락커피,37.59550315,127.0351025,,서울특별시 성북구 종암로9길 5
뚜레쥬르,37.59440383,127.0354598,,서울특별시 성북구 종암로5길 7
종암동 카페,37.59437864,127.0353239,,서울특별시 성북구 종암로5길 9-3
카페 아띠,,,,
59쌀피자(안암오거리점),37.58256981,127.0303686,,서울특별시 동대문구 약령시로 4
911 온반,37.5833018,127.0288292,,서울특별시 성북구 안암로 73-9
Joe's Grill,37.58255222,127.0286704,,서울시 성북구 안암동5가 134-43
Mr.WANG,37.58289828,127.0283445,,서울특별시 성북구 안암로9가길 87
고대맛집ㅋㅋ,37.5828117,127.0286886,,서울특별시 성북구 안암로9가길 80-17
고려성,,,,
국민수육국밥,,,,
국수가,,,,
다돈 참숯화로구이,37.5823576,127.028693,,서울특별시 성북구 안암동5가 134-41
동암 닭한마리 칼국수,,,,
마루,37.58370899,127.0290965,,서울특별시 성북구 인촌로24길 58-5
마시께 매운 떡볶이,,,,
미스사이공,37.5828117,127.0286886,,서울특별시 성북구 안암로9가길 80-17
미스터피자,,,,
박가네뼈다귀해장국,37.58206897,127.0299427,,서울특별시 동대문구 무학로 200 휴먼플러스
보신자리,37.58224214,127.0292092,,서울특별시 동대문구 안암로 70
본도시락,37.58228554,127.0286024,,서울특별시 성북구 안암로 63
부부손칼국수,,,,
비야(이공후문점),,,,
삼성통닭(이공후문점),37.58345306,127.0292821,서울특별시 성북구 안암동5가 104-41호,
서병장대김일병,37.58326583,127.0285756,,서울특별시 성북구 안암로9가길 97
성북연탄돼지불백,37.58300632,127.0286661,,서울특별시 성북구 안암로9가길 94
스시진,37.58266029,127.0288425,,서울특별시 성북구 안암동5가 134-35
아는 집밥,,,,
엄마 밥 줘,37.58320459,127.0284442,,서울특별시 성북구 안암로9가길 93
오바케 돈부리,37.5833415,127.0286345,,서울특별시 성북구 안암로9가길 99
웁스 떡볶이,,,,
이공냉면,37.58340635,127.0286889,,서울특별시 성북구 안암로9가길 101
이공탄,37.583154,127.0290148,,서울특별시 성북구 안암로 73-5
이모네,,,,
이모네 얼큰이식당,37.58239729,127.0284666,,서울특별시 성북구 안암로 61-6
장터사골 소머리곰탕,,,,
정다래 함박스텍(이공후문점),,,,
정한손 칼국수,37.58239729,127.0284666,,서울특별시 성북구 안암로 61-6
제주고깃집,37.58254855,127.028915,,서울특별시 성북구 안암로 69
철판남매,,,,
친구네,37.5828117,127.0286886,,서울특별시 성북구 안암로9가길 80-17
타타스키친,37.5800158,127.025255,,서울특별시 성북구 안암로 25
탐스필리,37.5833018,127.0288292,,서울특별시 성북구 안암로 73-9
피자스쿨(안암점),,,,
할매순대국,,,,
호화반점,37.583154,127.0290148,,서울특별시 성북구 안암로 73-5
황소식당,37.58258473,127.028367,,서울특별시 성북구 안암로9가길 82
흑도담,37.58318648,127.028811,,서울특별시 성북구 안암로9가길 100
마시고,,,,
Beer Time,,,,
가오가,37.58345665,127.0293365,,서울특별시 성북구 인촌로24길 60
상구비어,,,,
스카이 치킨호프,,,,
히든트랙,37.58250131,127.0304773,,서울특별시 동대문구 제기동 148-20 수운빌딩 지하1층
24시간 스터디카페,37.58265668,127.0288652,,서울특별시 성북구 안암로 69-1
CAF? DE GOUTIER,37.58265668,127.0288652,,서울특별시 성북구 안암로 69-1
Juicy Bean,,,,
The ROASTING,,,,
공린가,37.58293779,127.028897,,서울특별시 성북구 안암로 71
그리다 꿈,37.58366569,127.0293139,,서울특별시 성북구 인촌로24길 56
라떼킹,37.58254855,127.028915,,서울특별시 성북구 안암로 69
빈올로지,37.58320459,127.0284442,,서울특별시 성북구 안암로9가길 93
소울키친,,,,
엘가,37.58253014,127.0304954,,서울특별시 동대문구 약령시로 6
커피 그루나루,37.58307828,127.0291597,,서울특별시 성북구 안암동5가 104-291
커피 프로젝트,37.58256238,127.0312426,,서울특별시 동대문구 약령시로 12-1
하이소,37.58279688,127.0302917,,서울특별시 동대문구 약령시로 5-1 아이리스빌딩
할리스커피,37.58366569,127.0293139,,서울특별시 성북구 인촌로24길 56
정만,37.58884459,127.0293431,,서울특별시 성북구 개운사길 56
The C,37.58699209,127.0295779,,서울특별시 성북구 개운사길 8 타이거빌딩
